Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2005,3,2005-03,69.22145161290321,1904.9244,7710.1779056000005,4089.0091916100014,13.36359,8.94519,4.3759
2005,4,2005-04,68.32594444444443,3488.9232,7364.853693499999,4056.0197877800015,13.36359,8.94519,4.3759
2005,5,2005-05,69.39994623655912,5617.9529,8715.4072467,4110.809420210001,13.36359,8.94519,4.3759
2005,6,2005-06,59.059000000000005,4844.485,9662.0078744,4003.6261185200024,13.37159,8.95319,4.3759
2005,7,2005-07,77.8012231182796,3540.0631,9548.3017657,4090.448754520002,13.37159,8.95319,4.3759
2005,8,2005-08,85.82416666666667,3909.7038000000002,9951.0705466,4195.659788740002,13.37159,8.95319,4.3759
2005,9,2005-09,87.75780555555555,4112.1159,10714.726227899999,4136.03486942,13.37159,8.95319,4.3759
2005,10,2005-10,81.21654569892476,4800.9987,11433.3903492,4167.134857240001,13.37159,8.95319,4.3759
2005,11,2005-11,56.1974027777778,5613.9062,12574.4202944,4083.897196520001,13.37159,8.95319,4.3759
2005,12,2005-12,79.96694892473118,2870.019,11836.9469756,4240.819927140001,13.35524,8.94809,4.37665
2006,1,2006-01,79.02821236559139,2363.8055,10434.5303943,4096.584014670002,13.33584,8.92869,4.37665
2006,2,2006-02,75.51999999999998,1828.2646,8621.3499423,3880.8495863600033,13.33584,8.92869,4.37665
2006,3,2006-03,65.78967741935483,3460.1343,8210.6447871,4268.527175360003,13.33484,8.92869,4.37565
2006,4,2006-04,54.013194444444444,5387.0653,9275.4571807,4039.567198160002,13.33484,8.92869,4.37565
2006,5,2006-05,53.73904569892473,6873.3562,11116.2666352,4287.4939471000025,13.33484,8.92869,4.37565
2006,6,2006-06,52.988513888888896,6119.2299,12188.0867495,4152.427912590002,13.30174,8.94859,4.32265
2006,7,2006-07,59.31747311827955,4811.1524,12430.445106,4324.503447670003,13.30174,8.94859,4.32265
2006,8,2006-08,66.5369489247312,3640.4807,12143.7203709,4369.138607250003,13.30174,8.94859,4.32265
2006,9,2006-09,103.44473611111107,3258.6948,11758.4957437,4281.934009090002,13.30334,8.94859,4.32265
2006,10,2006-10,130.51073924731182,4834.9379,12617.9926777,4428.219617740002,13.30334,8.94859,4.32265
